date,code,name,p_close,open,high,low,close,volume,売買代金,値幅制限,時価総額_百万円,発行済株式数,配当利回り,配当,per,pbr,eps,bps,最低購入代金,単元株数,年初来高値,年初来安値,信用買残,信用買残前週比,信用売残,信用売残前週比,貸借倍率,get
05/14,9438,(株)エムティーアイ,685,695,710,694,702,"96,100","67,454",585～785,"42,969","61,209,300",2.28,16.00,(,(,2021/09,2020/09,05/14,年初来高値,21/02/12,21/05/13,"124,600","-17,600","323,400","-1,500",0.39,2021/05/16 15:58:27
05/14,9439,(株)エム・エイチ・グループ,230,230,232,228,230,"13,900","3,201",150～310,"2,643","11,492,100",0.00,0.00,(,(,2021/06,2020/06,05/14,年初来高値,21/01/20,21/01/04,"207,100","-6,100",0,0,0.00,2021/05/16 15:58:27
05/14,9444,(株)トーシンホールディングス,589,590,593,586,586,"7,500","4,424",489～689,"3,798","6,481,200",3.75,22.00,(,(,),),),用語,),),"42,100","+12,100",100,+100,421.00,2021/05/16 15:58:24
05/14,9445,(株)フォーバルテレコム,350,357,357,353,356,"3,100","1,102",270～430,"5,943","16,693,200",4.78,17.00,12.38,3.54,46.13,104.30,"35,600",100,394,338,"64,200","-7,400",800,-100,80.25,2021/05/16 15:58:23
05/14,9446,(株)サカイホールディングス,658,663,663,658,658,"2,500","1,655",558～758,"7,209","10,956,500",3.80,25.00,11.55,1.99,56.96,330.64,"65,800",100,680,561,"74,900","-5,300",100,+100,749.00,2021/05/16 15:58:21
05/14,9449,ＧＭＯインターネット(株),"3,030","2,960","3,015","2,949","2,996","714,900","2,134,748","2,330～3,730","335,232","111,893,046",---,(,--:--,05/14,BPS,最低購入代金,単元株数,"3,760",年初来安値,※参考指標のリンクは、IFIS株予報のページへ移動します。,"542,900","-36,300","86,900",+600,6.25,2021/05/16 15:56:36
05/14,9450,(株)ファイバーゲート,"1,430","1,490","1,512","1,447","1,483","186,200","276,149","1,130～1,730","30,383","20,487,800",---,(,倍,倍,(,(,(,株,(,(,"516,500","-10,200","90,200","+3,100",5.73,2021/05/16 15:56:35
05/14,9466,(株)アイドママーケティングコミュニケーション,397,400,411,397,404,"27,200","11,033",317～477,"5,462","13,520,000",---,(,--:--,05/14,),),),用語,),),"247,300","+6,300","4,300",+300,57.51,2021/05/16 15:59:38
05/14,9467,(株)アルファポリス,"2,831","3,035","3,250","3,000","3,250","152,600","480,975","2,331～3,335","31,484","9,687,400",0.00,0.00,21.16,4.21,153.60,772.52,"325,000",100,"4,135","2,630","193,100","+2,400",100,+100,"1,931.00",2021/05/16 15:59:35
05/14,9468,(株)ＫＡＤＯＫＡＷＡ,"3,575","3,505","3,655","3,495","3,615","294,400","1,057,031","2,875～4,275","256,275","70,892,060",1.38,50.00,33.77,1.83,107.05,"1,975.66","361,500",100,"4,785","3,215","393,600","+13,600","84,600","-3,700",4.65,2021/05/16 15:59:33
05/14,9470,(株)学研ホールディングス,"1,330","1,351","1,358","1,342","1,349","223,800","302,357","1,030～1,630","60,210","44,633,232",1.63,22.00,17.88,1.37,76.26,"1,068.41","134,900",100,"1,935","1,330","501,800","-13,700","18,300","-5,600",27.42,2021/05/16 15:59:32
05/14,9471,(株)文溪堂,"1,380","1,382","1,382","1,382","1,382",100,138,"1,080～1,680","9,121","6,600,000",3.04,42.05,57.39,0.60,87.14,"2,139.00","138,200",100,"1,395","1,300",---,(,--/--,),(,2021/05/16 15:59:31
05/14,9474,(株)ゼンリン,"1,110","1,130","1,136","1,110","1,110","100,800","112,831","810～1,410","63,605","57,301,365",2.25,25.00,46.88,1.41,23.68,785.98,"111,000",100,"1,465","1,097","134,500","+34,000","52,300","+5,800",2.57,2021/05/16 15:59:30
05/14,9475,(株)昭文社ホールディングス,464,470,477,462,462,"10,100","4,755",384～544,"8,398","18,178,173",---,(,--:--,05/14,),),),用語,),),"43,800","-1,900","51,400","-4,500",0.85,2021/05/16 15:59:28
05/14,9476,(株)中央経済社ホールディングス,583,583,583,582,582,300,175,483～683,"2,560","4,398,464",1.72,10.00,54.29,0.54,10.72,"1,074.63","58,200",100,600,555,"49,700",0,0,0,0.00,2021/05/16 15:59:27
05/14,9478,ＳＥホールディングス・アンド・インキュベーションズ(株),192,193,197,193,197,"58,600","11,448",142～242,"4,626","23,484,226",1.02,2.00,8.98,0.79,21.93,249.85,"19,700",100,245,190,"2,099,800","+12,100",0,0,0.00,2021/05/16 15:59:26
05/14,9479,(株)インプレスホールディングス,211,213,222,212,218,"241,400","52,224",131～291,"8,147","37,371,500",2.06,4.50,12.15,0.85,17.94,255.72,"21,800",100,278,166,"507,100","-13,600","169,400","-34,800",2.99,2021/05/16 15:59:25
05/14,9501,東京電力ホールディングス(株),339,343,345,340,341,"9,226,800","3,157,425",259～419,"547,993","1,607,017,531",0.00,0.00,(,(,),),),用語,),),"37,527,000","+270,400","1,428,000","-452,700",26.28,2021/05/16 15:59:23
05/14,9502,中部電力(株),"1,348.5","1,362","1,365.5","1,354.5","1,358.5","1,103,000","1,499,516","1,048.5～1,648.5","1,029,743","758,000,000",3.68,50.00,10.81,0.51,125.63,"2,686.12","135,850",100,"1,478","1,236","619,000","-51,100","131,000","-47,900",4.73,2021/05/16 15:56:33
05/14,9503,関西電力(株),"1,071","1,081.5","1,088","1,077","1,078.5","1,853,000","2,005,095","771～1,371","1,012,424","938,733,028",4.64,50.00,13.76,0.57,78.38,"1,886.12","107,850",100,"1,268",966,"2,188,500","+268,800","219,000","-7,300",9.99,2021/05/16 15:56:33
05/14,9504,中国電力(株),"1,109","1,127","1,141","1,105","1,105","2,826,900","3,149,729","809～1,409","427,806","387,154,692",4.52,50.00,26.54,0.61,41.64,"1,824.17","110,500",100,"1,440","1,104","163,800","+28,100","160,100","+6,600",1.02,2021/05/16 15:56:31
05/14,9505,北陸電力(株),660,670,673,662,662,"369,400","245,629",560～760,"139,241","210,333,694",2.27,15.00,27.64,0.41,23.95,"1,622.02","66,200",100,791,655,"687,700","+244,300","240,200","+25,500",2.86,2021/05/16 15:56:30
05/14,9506,東北電力(株),949,953,963,951,954,"1,656,000","1,584,782","799～1,099","479,750","502,882,585",---,(,--:--,05/14,BPS,最低購入代金,単元株数,"1,124",年初来安値,※参考指標のリンクは、IFIS株予報のページへ移動します。,"511,500","+21,100","36,600","-59,200",13.98,2021/05/16 15:56:29
05/14,9507,四国電力(株),779,790,792,783,785,"247,100","194,310",629～929,"175,123","223,086,202",3.82,30.00,12.42,0.50,63.19,"1,583.09","78,500",100,930,669,"782,900","+109,700","49,900","-3,200",15.69,2021/05/16 15:56:28
05/14,9508,九州電力(株),911,923,924,910,910,"2,154,300","1,971,071","761～1,061","431,507","474,183,951",4.40,40.00,9.57,0.78,95.13,"1,168.09","91,000",100,"1,149",887,"673,800","+35,300","312,400","-20,500",2.16,2021/05/16 15:56:27
05/14,9509,北海道電力(株),516,522,524,517,520,"697,600","362,816",416～616,"111,952","215,291,912",3.85,20.00,5.34,0.47,97.41,"1,117.26","52,000",100,554,372,"2,776,700",+600,"571,900","+83,000",4.86,2021/05/16 15:56:26
